Input_HotelName,Input_CityName,Input_CountryName,Output_HotelName,Output_HotelName_Address
Best Western Premier Louvre,Paris,France,Best Western Premier Louvre Saint-Honoré,"Best Western Premier Louvre Saint-Honoré, Paris, Ile de France, France"
Jack's,Paris,France,Jack's Hotel,"Jack's Hotel, Paris, Ile de France, France"
Hotel Les Dames du Pantheon,Paris,France,Hôtel Les Dames du Panthéon,"Hôtel Les Dames du Panthéon, Paris, Ile de France, France"
Seven,Paris,France,Seven Hotel,"Seven Hotel, Paris, Ile de France, France"
Hotel Claude Bernard Saint Germain,Paris,France,Hotel Claude Bernard Saint-Germain,"Hotel Claude Bernard Saint-Germain, Paris, Ile de France, France"
Hotel Devillas,Paris,France,Hotel Devillas,"Hotel Devillas, Paris, Ile de France, France"
Les Bulles de Paris,Paris,France,Hotel Les Bulles De Paris,"Hotel Les Bulles De Paris, Paris, Ile de France, France"
Les Bulles de Paris,Paris,France,Les Bulles du Rocher de Fontainebleau,"Les Bulles du Rocher de Fontainebleau, Noisy-sur-École, Île de France (Autoroute du soleil A6 Paris Lyon), France"
Hotel Le Faubourg,Paris,France,Hotel Le Faubourg,"Hotel Le Faubourg, Paris, Ile de France, France"
Golden Tulip Opera de Noailles,Paris,France,Golden Tulip Opera de Noailles,"Golden Tulip Opera de Noailles, Paris, Ile de France, France"
